"easting","northing"
289893.469423636,4431416.33416659
289230.453275333,4431071.38656941
290371.736780163,4431443.13237035
288256.175096154,4430009.73572712
288516.636038331,4430239.35373762
287964.543329915,4429575.17214478
288164.28879286,4429819.83031592
288070.615909321,4429734.21313171
288661.254398227,4430359.59300299
287908.65757994,4429057.79082198
289017.978782324,4430643.04073486
290740.402849986,4431606.33607906
287976.782531496,4429835.29348773
289255.949728111,4430939.51956689
289495.457307061,4431191.62800393
290690.439366516,4431614.5979422
289154.293218592,4430829.23211328
287722.577060659,4429637.06145138
288136.168009958,4429976.64669968
288913.92447797,4430737.45653458
289352.899288756,4430973.755307
288381.600628009,4430062.28535519
290639.77046526,4431544.74281013
291570.888082997,4431642.11000458
288806.39260357,4430506.95029341
289737.212521339,4430975.10609844
288522.848996344,4430098.885608
290281.760616285,4431309.07767681
288737.532803204,4430466.31445551
288642.945430206,4430428.69992158
288357.556623606,4430283.84104344
289872.759510507,4431185.39789541
289371.720815296,4430910.67077339
288035.856478961,4430151.89506422
288177.85078644,4430036.84019952
288917.15522221,4430803.81755055
288973.056568491,4430764.25573295
290413.476705239,4431551.21287729
287863.637217914,4429423.24071463
289167.033304735,4430807.05647001
289817.155521151,4431398.42011253
289895.277549813,4431485.26240985
288059.652433837,4430133.42036497
291758.088581765,4431907.30065955
288306.699231849,4430460.9840381
290142.088993482,4431536.33467894
287680.992182441,4429807.13938287
290223.848474819,4431844.44239095
288067.653204837,4430458.57392687
289009.453086429,4430600.58026702
289619.269439958,4430684.47023658
288941.652056669,4431255.79913866
288729.856549458,4431226.08633106
289494.174252468,4431231.22500935
290111.565286111,4431373.29789015
287538.282538964,4430133.26501132
288020.546541635,4430573.2628345
288704.684975317,4431041.34643175
288193.040070575,4430137.34890055
288188.12923902,4429775.67304054
288556.909950486,4430436.88416981
290055.017877408,4431215.4077424
289386.384060038,4431399.0969806
288769.987016375,4430553.87733092
289934.507930262,4431929.85312969
289900.407439157,4430832.7750113
288150.9553514,4429442.62934095
289829.534660811,4430582.37628157
288369.665667706,4430088.84340241
288531.312144179,4430303.45510738
287714.975901078,4429410.5521955
288703.530724293,4430067.53146241
289201.266787296,4430828.07324138
289026.04387461,4430957.74097123
288122.924276668,4429526.76691451
287705.232290076,4429226.37244214
288469.649044496,4430335.82397237
288238.974588188,4430565.83872721
289290.279344504,4430995.79171217
289258.655151967,4430990.05210129
289163.974198045,4431075.11267622
290138.082982914,4431177.46511873
287868.690865403,4429647.96935414
289264.122615244,4431349.49340105
287893.514522572,4429685.21111563
288891.847267678,4430386.37308956
288969.634996313,4430687.03834527
289780.152678838,4430977.48587654
288002.55234089,4430251.17443093
288935.638639298,4430376.98565231
287235.395666895,4428422.77403976
288422.127908693,4430253.3885668
289083.331332264,4431312.11369112
290071.632389868,4431216.96961649
289920.237097369,4431033.42858747
288331.982153383,4429683.73434538
288428.187748972,4430397.52638815
289783.941175366,4431516.29477502
288382.754259339,4430056.19733828
