"easting","northing"
292452.271748503,4426130.33856376
292403.844644885,4426063.81484467
292482.548264295,4425970.22892537
292384.84295027,4426051.49672755
292425.380615376,4426179.77914593
292493.391650926,4426139.22975941
292354.403713641,4426233.63893626
292366.295875643,4426175.61788714
292399.724043419,4426208.40884409
292593.780867315,4426029.82385444
292448.461451415,4426201.50879455
292246.019356026,4426291.73640486
292492.300998043,4426094.74665248
292456.638268412,4426121.91240897
292534.070060279,4426043.63562948
292346.353709106,4426199.76889107
292447.602122445,4426075.55859498
292351.924649753,4426182.86154287
292221.181765415,4426297.83030749
292520.725415891,4426106.02166913
292447.494791918,4426105.72563401
292558.426023175,4426024.46392857
292375.951398162,4426188.80338345
292561.685211833,4426028.73907679
292368.219354523,4426136.55451975
292412.67062316,4426122.42052524
292642.801080223,4425885.14955156
292334.030609023,4426206.43530413
292674.474015274,4426142.5534726
292195.934031498,4426307.43401674
292532.395219911,4426176.33568245
292329.420676343,4426160.17547125
292414.347893008,4426070.65744737
292629.084180464,4425967.98460276
292502.246423714,4426117.45388866
292465.31776168,4426135.47614192
292575.560044069,4426044.43785188
292452.432728853,4426109.01393086
292430.104282112,4426033.65833395
292288.368895731,4426198.14003408
292577.291246487,4426098.36235141
292593.231467627,4425983.36951505
292436.765159844,4426151.71166219
292511.335551987,4426105.80361011
292398.02530282,4426155.7802628
292770.824560205,4426120.94361195
292408.454344109,4426151.16463638
292511.197759004,4426092.67633854
292477.847533675,4426104.86991309
292491.911423605,4426069.23906425
292501.444499896,4426065.23086015
292488.179264874,4426043.04550058
292334.130753123,4426184.97451818
292368.950735336,4426246.5583152
292507.475303337,4426101.5768484
292416.811466218,4426144.23306882
292451.353980055,4426152.94255537
292442.350761048,4426104.83794742
292475.559848694,4426136.89658827
292388.795529961,4426159.54928471
292417.031813361,4425791.01306908
292445.538836063,4426116.14170843
292426.683016762,4426131.3050447
292477.932018476,4426125.87528559
292422.045710787,4426129.85432637
292592.32522124,4425986.38287647
292686.712918043,4425865.52463323
292331.383367495,4426212.54223445
292427.238194833,4426123.36055887
292275.208375245,4426259.98296098
292277.692159226,4426260.59839323
292329.232489469,4426181.93668061
292491.274291449,4426070.10314888
292471.293360598,4426044.83582652
292710.084274604,4425841.19540816
292415.81155984,4426154.30938248
292473.786757205,4426061.86682427
292393.465909895,4426143.80301948
292403.119948867,4426185.19759667
292382.534875546,4426154.24932761
292503.690398954,4426118.49386607
292147.325078177,4426425.86089119
292486.071076999,4426125.61342794
292357.059722549,4426233.04491968
292558.067472479,4425994.98472436
292485.508498052,4425951.63467667
292593.037510918,4426043.11442003
292614.293492937,4426122.83619703
292673.724346675,4426081.62277066
292357.221106289,4426194.69129627
292463.91517567,4426127.45272371
292437.60854425,4426115.21098468
292402.049846032,4426159.89152763
292366.746277624,4426183.13343126
292540.991986563,4426081.33114016
292293.06901008,4426242.68855824
292269.327074284,4426264.26690614
292357.159320383,4426206.19213771
292556.392375777,4426034.8669911
292334.292217984,4426163.38903693
292557.079692582,4426120.49760475
292734.145396262,4425941.57463324
292474.925338331,4425988.4008598
292333.942075073,4426146.24430426
292259.081519741,4426275.78715848
292424.117022367,4426098.82288468
292288.069936342,4426251.46705758
292401.400839753,4426181.6061011
292274.750905823,4426259.00133094
292365.699256259,4426208.69762116
292343.63169781,4426139.78451334
292376.260746414,4426154.37123631
292651.818626219,4425856.2581179
292255.212360531,4426281.13870255
292361.484645231,4426222.88894831
292630.526459291,4426074.28424661
292506.290066829,4426127.33720115
292414.181384199,4426171.46027778
292621.587586021,4425981.22621999
292457.480408269,4425964.92190677
292572.960920115,4426024.08508484
