"id","easting","northing"
NA,422195.998991241,4514986.28038733
NA,421960.646982325,4515235.24726572
NA,421923.373473467,4515040.6699592
NA,422283.356802025,4515187.96761453
NA,421880.026248522,4515257.3358183
NA,422192.199033409,4515230.16290225
NA,422375.983262189,4515081.44431298
NA,421875.95126425,4514905.8629865
NA,421944.503836608,4515345.9206659
NA,422183.589067957,4514993.49780025
NA,421966.250325815,4515223.06751497
NA,422082.242912132,4514964.99451624
NA,422042.664781273,4514769.87844103
NA,422148.783204659,4515126.60753914
NA,422059.800788381,4514970.73511346
NA,421895.130305782,4514858.54954256
NA,421944.973524243,4514964.37802755
NA,422214.163111775,4515166.34299155
NA,422168.931441512,4515127.42411691
NA,421998.49638773,4515163.35238087
NA,422142.855660056,4515115.12829711
NA,421931.114205308,4514954.30596424
NA,421888.600126338,4514989.65034287
NA,421944.134396999,4515139.30706797
NA,422073.519958019,4515077.7499446
NA,422442.240151443,4514922.86392342
NA,421958.878457299,4515054.69402325
NA,421929.941519422,4515185.18796688
NA,422358.36451048,4514818.58467053
NA,422343.923307056,4515170.18019248
NA,421925.242711177,4515074.02756325
NA,421916.5964525,4515086.09974939
NA,422332.727481239,4514999.25238945
NA,421942.927472634,4515188.57278311
NA,422230.478904273,4515191.5738475
NA,421908.183618255,4515235.83991013
NA,422462.367437303,4515118.38845213
NA,421640.487247745,4515054.38837299
NA,422066.97731356,4515015.38509782
NA,422197.285783528,4515036.93346986
NA,422301.747096542,4515090.96923392
NA,422058.476243849,4515126.57385376
NA,422321.172342965,4515314.46002624
NA,421875.135868738,4514852.20054421
NA,422340.277713833,4515120.36724202
NA,421909.36568954,4515131.03571921
NA,422381.117664439,4515355.13062473
NA,421839.79833322,4515184.78834412
NA,421791.143681816,4515280.43368174
NA,421955.914241627,4515328.62006834
NA,421809.018313558,4515049.74103826
NA,421965.603320203,4515418.81303378
NA,422228.711076473,4515074.62283667
NA,422138.979366377,4515203.20960995
NA,422018.038099677,4515028.76091737
NA,422068.64478097,4515618.9591159
NA,421801.903915696,4515044.09173152
NA,422195.841839644,4515050.34764523
NA,421927.312306051,4515030.77242859
NA,422098.682201777,4515140.90625033
NA,422036.864810425,4515173.01520163
NA,422078.521684248,4515133.59058735
NA,421982.395753849,4515159.74649161
NA,422049.702846353,4515133.78822529
NA,422173.978090026,4515213.80215594
NA,421780.403098826,4514643.90527477
NA,422208.770335122,4515171.10863481
NA,422012.743368895,4515183.90956131
NA,422256.715816696,4515280.44614833
NA,421927.94214109,4515134.44055149
NA,422126.702733555,4515218.20606487
NA,421696.849654071,4514951.16365214
NA,422031.847319961,4515145.46217726
NA,422297.029896223,4515144.24690806
NA,421976.968742054,4515079.73596545
NA,422221.670766337,4515082.54322563
NA,422091.381150632,4515086.44702833
NA,422051.860559247,4514952.21131937
NA,421861.158285643,4515010.51799602
NA,422049.551358992,4514897.21167716
NA,421705.208562775,4514982.84861055
NA,422174.094310104,4515254.09769819
NA,422251.045464317,4515024.22991244
NA,421808.449378102,4514968.90084403
NA,421941.520090219,4515266.92025704
NA,422261.853096909,4515077.12748534
NA,421939.298725525,4515104.91252284
NA,422248.911561441,4514910.89460199
NA,421914.856245911,4515130.39404121
NA,422243.651706598,4515079.56736472
NA,421980.509789422,4515269.87271449
NA,421501.52314405,4515090.7175871
NA,422054.798953333,4514809.54832711
NA,421680.564018807,4515006.02528871
NA,422016.94050954,4515111.27986022
NA,422223.947434156,4515116.14533071
NA,422001.849130176,4515155.55560853
NA,421823.779975537,4514985.13232737
NA,422131.388053048,4515399.036926
NA,422178.958192513,4515036.21113891
NA,422239.146913399,4515073.89764353
NA,422053.831897903,4515159.1465539
NA,421946.018024634,4515035.19281627
NA,422404.491210693,4515220.72008624
NA,422063.763179407,4515224.24251904
NA,421961.796599808,4515010.35669054
NA,421985.302821069,4514884.8756851
NA,422274.024237775,4514991.49856849
NA,421916.261094889,4514911.15087627
NA,422162.505469715,4515163.07869854
NA,421927.210248577,4515015.75580507
NA,422207.514431294,4514959.91436173
NA,421851.099718677,4515034.86482785
NA,422066.501032446,4515223.97722808
NA,422254.008771856,4515105.17461022
NA,422006.424551043,4515215.18990091
NA,421684.432451605,4514945.58671444
NA,422044.359730139,4515371.29880605
NA,422148.416548929,4515118.87257251
NA,421975.709156485,4515040.19025218
NA,422126.487355974,4514880.51228289
NA,421867.544213567,4515082.59817239
NA,421871.963946333,4514975.49061191
NA,422128.595986679,4515001.35873876
NA,422139.60384216,4514999.21819652
NA,422001.034159352,4515204.94817147
NA,422147.631097157,4515085.38063693
NA,422062.309385099,4515277.20664089
NA,421810.334366746,4514936.81433436
NA,422324.98594608,4514959.88265868
NA,422000.448882735,4515174.83909076
NA,422017.534299949,4515081.51534702
NA,422005.024517846,4515100.40828886
NA,421924.695100253,4515156.839218
NA,422318.635995608,4515354.6006886
NA,421989.709573529,4515188.84380326
NA,422070.597791358,4515073.01724182
NA,421890.085782165,4515031.20330746
NA,422201.972000167,4515185.2733504
NA,422172.827698207,4515152.65035408
NA,422292.318000702,4515213.96457932
NA,421847.463269309,4514865.29824632
NA,422238.223126466,4515113.95531172
NA,421993.129801254,4515263.19918672
NA,421903.610236775,4515199.1351701
NA,421871.739878512,4515071.94710695
NA,421805.220363639,4515042.96969625
NA,422114.970367658,4515210.73357193
NA,422168.651762853,4514936.24925915
NA,422331.000375582,4515012.70479041
NA,422097.07948116,4515127.28306064
NA,422171.444772865,4515151.05704896
NA,422080.690801815,4515208.63801339
NA,422209.70935068,4515117.73774547
NA,422399.693372891,4515240.12898422
NA,421951.928566446,4515146.2496114
NA,421968.633498322,4514896.57152586
NA,422146.881036731,4514948.21687867
NA,421970.949205184,4515325.06689601
NA,421777.038068499,4515139.14646829
NA,422267.299288113,4515144.10491945
NA,422574.317971989,4515097.51461197
NA,421785.538342986,4514943.20837184
NA,422441.259603321,4515098.76866515
NA,422038.16816334,4515280.98368635
NA,421972.479135862,4515152.44323893
NA,422311.602568175,4515052.30949232
NA,422019.472568041,4515019.50841933
NA,422002.181829285,4514920.37095325
NA,422062.520688286,4515191.00848629
NA,422208.491117427,4514957.97368587
NA,421820.21753983,4515118.68596758
NA,421956.46039015,4515243.67359815
NA,422265.835632378,4514836.84121732
NA,421988.092839588,4514942.59237736
NA,422195.786150169,4515223.29047399
NA,422072.473356029,4515209.88462739
NA,422165.268868643,4515120.76376266
NA,422247.898409861,4515138.862843
NA,422169.56311601,4515314.32281206
NA,422158.059976364,4515270.27845567
NA,422169.942159251,4514958.79168401
NA,421955.333710837,4514928.90320223
NA,421597.973420406,4515170.98517803
NA,422145.56322431,4515268.16125458
NA,422050.383493415,4515156.25094012
NA,421883.025928113,4515176.70758657
NA,422077.608468549,4515317.9594906
NA,422175.200113724,4515269.60975569
NA,422258.722361021,4515121.64569332
NA,422206.172019531,4515111.6493302
NA,422047.109631695,4515192.36231931
NA,421719.175236715,4515200.4834637
NA,422068.050819872,4515197.66200209
NA,422049.186038029,4515236.21210605
NA,421967.019264811,4515064.77431326
NA,422133.87157797,4515312.83554112
NA,422222.228971716,4514891.47404167
NA,422170.018125142,4515265.30406318
NA,421824.181129769,4514966.59811513
NA,422035.237905996,4515041.76476171
NA,422440.910120354,4515176.28417041
NA,422003.450133155,4515068.76834978
NA,422094.814533662,4515115.71476289
NA,422147.30263311,4514888.55028326
NA,422203.443467516,4515268.24624019
NA,422323.378562374,4515127.36059784
NA,422087.163760899,4515072.50461411
NA,422039.648638434,4515016.23058244
NA,422041.974336892,4515098.51291219
NA,422229.605485861,4515064.10255509
NA,422046.09676978,4514873.81473979
NA,422173.084509138,4515091.56200884
NA,422056.888835731,4515088.32601826
NA,421896.015027451,4515163.30509853
NA,421672.996175138,4514784.46781846
NA,422095.070026032,4514946.21856138
NA,421880.346138517,4515182.96667808
NA,422265.968982307,4515262.32328151
NA,422208.054096731,4515106.94870987
NA,422187.437878518,4515077.47884645
NA,422538.759856388,4515169.09415834
NA,422196.720008803,4515184.57366137
NA,421898.694786416,4514944.21464983
NA,421794.184285877,4515003.91938344
NA,421839.668563014,4515504.5890706
NA,422108.936710516,4514972.2853216
NA,422048.094870462,4515263.29959231
NA,421868.862336137,4514943.17449315
NA,422234.140503841,4515091.84603668
NA,422204.922914639,4514994.97327494
NA,422131.424695014,4515262.65428747
NA,422251.281980263,4515151.50764029
NA,421940.86316311,4515141.4373527
NA,421943.758183534,4515111.44634575
NA,421939.915734635,4515204.1936323
NA,421676.307872943,4514913.22154696
NA,421919.495522019,4515091.79828712
NA,422152.881824615,4515177.81213662
NA,421994.837382565,4514995.53837037
NA,422338.854748749,4515141.89867794
NA,422302.318086176,4514827.1624588
NA,421651.728426928,4514866.8085111
NA,422115.660340052,4514916.10057286
NA,421818.165595223,4515250.44907148
NA,421815.322931309,4515070.86366058
NA,421876.885120807,4515166.75614578
NA,422251.919929035,4515069.41653851
NA,422019.282462707,4515021.35949581
NA,422010.140456235,4514984.89035667
NA,422196.785499369,4515082.22172591
NA,421987.020576361,4515128.20169468
NA,421733.505567713,4515265.52005469
NA,421975.256378193,4514894.30614225
NA,422413.33762987,4515369.57311929
NA,422154.828971638,4514858.65651947
NA,422083.845062999,4515114.88512998
NA,421836.731727045,4515272.90570022
NA,422029.864579846,4515375.08637673
NA,422166.215959933,4515219.63469389
NA,422436.254779511,4515123.10699596
NA,422049.813306901,4515139.71709074
NA,422227.560311809,4514985.98530517
NA,422573.019463178,4515155.29588877
NA,422174.403522905,4515388.13514527
NA,421819.30182249,4515088.42029664
NA,422235.611124226,4515102.76914718
NA,422026.998052687,4515261.79457866
NA,422111.574997451,4515282.35625573
NA,421877.258662813,4515158.02135599
NA,422094.18010332,4515172.87269315
NA,422367.670241542,4515097.43688908
NA,421831.96932632,4515108.87285122
NA,421532.491990274,4515052.32108936
NA,422201.238469091,4515061.24559367
NA,422219.734078685,4515057.21253114
NA,422360.441921865,4515097.93514342
NA,422037.526673664,4515280.47868628
NA,421977.433078453,4515101.18101348
NA,421886.438815868,4515072.85138209
NA,421681.143061949,4514977.1046437
NA,422332.692842493,4515238.71317657
NA,422244.041347172,4515184.05126991
NA,422283.166521579,4515161.51024876
NA,421946.403147392,4515166.0030559
NA,421741.487594725,4515357.25058993
NA,421934.137852171,4514927.81802744
NA,422247.062306682,4515093.79013717
