"id","easting","northing"
NA,421675.774003237,4515271.5573087
NA,421995.100575804,4515448.66678318
NA,422246.5866451,4515186.77863133
NA,421754.739673762,4514865.31507412
NA,421994.944286946,4515152.41669154
NA,422000.323645436,4515245.80440031
NA,421583.482773895,4515327.32685749
NA,421647.551105838,4514965.97592841
NA,421387.819833001,4515105.11851588
NA,421841.474198718,4515254.21734024
NA,421773.570256591,4515131.32075376
NA,421519.816578164,4515091.31149449
NA,422267.237893243,4515301.38626496
NA,421558.165139626,4514941.40414982
NA,421777.221904678,4515061.96707992
NA,421531.302019003,4515266.82655196
NA,422012.470560842,4515468.63882429
NA,422013.802050463,4515246.78312786
NA,421925.200899209,4515403.87366948
NA,422256.006409255,4515503.18319402
NA,421861.926590349,4515309.56764687
NA,421654.144669634,4514978.4717456
NA,421965.338367888,4515226.18627811
NA,421767.072500916,4514980.47979498
NA,422002.420732322,4514956.72302214
NA,421629.827289385,4515243.62679201
NA,421676.12706209,4515089.0549493
NA,421868.056491152,4515357.26592236
NA,421792.745087843,4515473.06459744
NA,422356.310014702,4515153.40506031
NA,421532.162426054,4514972.07711147
NA,421601.328261749,4515324.1604713
NA,421631.100489739,4515153.78025169
NA,421737.838132971,4515174.27621002
NA,421570.947977725,4515307.02041451
NA,421684.324820641,4515076.46536059
NA,421879.4138417,4515164.54381837
NA,421596.850836764,4515067.29701966
NA,421771.712209608,4514955.81756358
NA,421870.722013168,4514819.27225118
NA,421913.050759782,4515157.05583789
NA,421974.977749692,4515230.24964672
NA,421969.774074629,4515585.27346165
NA,421943.882485823,4515207.15289843
NA,422111.677500476,4515306.945474
NA,422168.539183778,4515482.79607618
NA,421607.649123866,4515208.53588246
NA,421583.209029848,4515075.88876882
NA,421799.51423241,4515261.83576335
NA,421881.37948912,4515141.10683963
NA,422129.423572155,4515185.72349851
NA,421964.518106706,4515190.13388945
NA,421775.435872261,4515042.69732518
NA,422309.046697522,4515135.48985064
NA,421721.562715447,4514974.10155762
NA,422094.729414632,4515116.91627001
NA,421696.409684189,4515233.2808415
NA,421576.687849681,4514961.36324759
NA,422131.936848954,4515212.00972702
NA,421791.990378953,4515085.96979564
NA,421804.406108319,4515180.05389498
NA,421643.63081756,4515106.10446806
NA,421413.516003789,4515081.82232972
NA,421989.858865406,4515129.94795949
NA,421623.276160502,4515351.43255826
NA,422065.041453733,4515256.22411955
NA,421998.278702884,4515423.15944079
NA,421854.044598321,4515161.70113464
NA,421551.159746784,4514901.93352316
NA,421853.167668205,4515107.2319916
NA,421776.691996826,4515268.73620963
NA,421956.596482603,4514895.27207881
NA,421832.261965247,4514926.58415639
NA,421623.896944004,4515247.31524071
NA,422092.50907676,4515161.94746133
NA,421720.789563099,4515159.30967822
NA,421454.086915233,4515122.09305391
NA,421750.839358881,4515268.48215231
NA,421693.517315636,4515173.58670678
NA,421597.677828047,4515128.42775528
NA,422180.704462009,4515058.0429011
NA,421945.663659177,4515120.37426915
NA,421748.689766077,4515027.34880415
NA,422238.757021196,4515457.57461508
NA,421689.391297318,4515224.34495767
NA,421910.238900925,4515301.36943632
NA,421629.887273824,4514839.7572413
NA,422022.808398853,4515152.92167251
NA,421557.795346856,4515151.70913141
NA,421782.255170234,4515183.05119826
NA,421523.675738174,4515330.95848032
NA,421655.59667749,4515007.22409698
NA,421588.326803497,4515037.97142116
NA,421715.365693318,4515109.80366364
NA,421712.37718556,4515066.4447826
NA,421819.996955138,4515001.64255895
NA,421957.486002484,4514877.95686979
NA,421504.233075906,4515292.35852197
NA,421780.222570021,4515209.6346146
NA,421817.283935616,4515017.4332461
NA,421593.441652792,4515104.42531308
NA,421843.396047044,4515267.2286962
NA,421557.13583028,4515255.98234221
NA,421462.095695672,4515026.69421035
NA,421346.187467065,4515183.1054498
NA,422060.146806174,4515283.40049681
NA,421768.603056608,4515214.19071604
NA,421824.30177738,4515190.10811661
NA,421431.320106848,4515387.83880226
NA,421517.462461544,4514862.12562414
