City (for azimuth),hive,lat,lon,month,day,year,hour,min,hour,minute,segment,dance found?,segment start time,color,Pollen forager,dancer.id,cluster.id,runs.measured,points,minX,maxX,meanX,sdX,minY,maxY,meanY,sdY,min_duration.sec,max_duration.sec,mean_duration.sec,sd_duration.sec,minI,maxI,meanI,sdI,minLen,maxLen,meanLen,sdLen,minD2S,maxD2S,meanD2S,sdD2S,minD2R,maxD2R,meanD2R,sdD2R,minD2P,maxD2P,meanD2P,sdD2P,minV,maxV,meanV,sdV,min_angle,max_angle,mean_angle,sd_angle,minDelta,maxDelta,meanDelta,sdDelta,skew,min_angle_corr,max_angle_corr,mean_angle_corr,segment start time,azimuth,heading.degrees,heading.radians,flag
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,2,,,C1_062818_14.02_for_60sec,yes,14:02,tan,yes C1,1,1,4,8,288,338,314.25,17.71,552,624,584.5,27.872,1.335,1.668,1.493,0.137,50,79,58.875,10.063,49.518,58.822,54.022,4.706,0,58.822,27.011,29.04,NA,NA,NA,NA,49.518,58.822,54.022,4.706,30.256,39.175,36.386,4.193,43.363,77.905,58.067,14.425,NA,NA,NA,NA,,133.363,167.905,148.067,,,148.067,2.584256664,
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,2,,,C1_062818_14.02_for_60sec,yes,14:02,,no,2,2,7,14,738,818,772,22.679,630,722,682.619,29.161,1.735,2.002,1.849,0.102,36,80,55.857,13.496,45.509,66.843,55.638,8.467,0,66.843,27.819,29.437,NA,NA,NA,NA,45.509,66.843,55.638,8.467,25.258,33.978,29.993,3.484,51.072,66.371,58.165,5.724,NA,NA,NA,NA,,141.072,156.371,148.165,,,148.165,2.585967086,
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,4,,,C2_062818_14.04_for_60sec,yes,14:04,grey brown,yes C2,1,1,5,10,506.667,625.333,567.2,44.556,749.333,822.667,785.6,25.853,0.834,1.435,1.161,0.25,49,70,58.7,7.675,31.693,45.976,39.532,6.132,0,45.976,19.766,21.233,NA,NA,NA,NA,31.693,45.976,39.532,6.132,31.053,37.994,34.49,2.956,34.287,75.379,60.571,15.975,NA,NA,NA,NA,,124.287,165.379,150.571,,,150.571,2.627959708,
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,10,,,C3_062818_14.10_for_60sec,yes,14.1,yellow,yes C3,1,1,5,10,826.693,865.405,848.297,12.363,413.346,464.546,433.452,16.212,0,0,0,0,28,88,52.9,19.689,28.063,37.567,32.669,4.054,0,37.567,16.334,17.429,NA,NA,NA,NA,28.063,37.567,32.669,4.054,NA,NA,NA,NA,97.125,151.39,127.612,24.844,NA,NA,NA,NA,,187.125,241.39,217.612,,,217.612,3.798045892,
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,10,,,C3_062818_14.10_for_60sec,yes,14.1,,no,2,2,6,12,922.849,1030.244,987.785,31.887,384.624,462.049,423.753,21.73,0,0,0,0,26,142,46.583,32.321,41.978,57.944,51.394,7.004,0,57.944,25.697,27.252,NA,NA,NA,NA,41.978,57.944,51.394,7.004,NA,NA,NA,NA,-1.507,42.357,27.862,16.32,NA,NA,NA,NA,,88.493,132.357,117.862,,,117.862,2.057079963,
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,10,,,C3_062818_14.10_for_60sec,yes,14.1,,no,3,3,6,12,478,594,532.5,35.862,595,691,643.167,23.652,0,0,0,0,19,111,37.833,23.954,41.773,59.548,46.679,6.519,0,59.548,23.339,24.77,NA,NA,NA,NA,41.773,59.548,46.679,6.519,NA,NA,NA,NA,-15.945,52.125,32.651,24.611,NA,NA,NA,NA,,74.055,142.125,122.651,,,122.651,2.140663781,
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,13,,,C4_062818_14.13_for_60sec,yes,14:13,yellow,yes C4,1,1,6,12,472,528,497,19.212,700,810,739.5,33.261,1.535,2.469,2.013,0.341,19,54,36.25,12.418,33.526,53.814,48.247,7.762,0,53.814,24.124,25.734,NA,NA,NA,NA,33.526,53.814,48.247,7.762,21.122,28.796,24.084,2.766,48.013,85.601,65.515,14.882,NA,NA,NA,NA,,138.013,175.601,155.515,,,155.515,2.714248786,
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,13,,,C4_062818_14.13_for_60sec,yes,14:13,,no,2,2,5,10,776,1002,894.8,72.266,560,684,619.8,39.547,1.268,1.768,1.502,0.202,15,71,47.4,17.658,46.861,70.767,60.993,9.842,0,70.767,30.496,32.809,NA,NA,NA,NA,46.861,70.767,60.993,9.842,36.959,44.464,40.553,3.002,39.174,50.711,45.291,5.003,NA,NA,NA,NA,,129.174,140.711,135.291,,,135.291,2.361273398,
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,13,,,C4_062818_14.13_for_60sec,yes,14:13,,yes,3,3,7,12,408,1022,535.833,219.994,452,560,483,29.027,0,1.435,0.91,0.644,42,72,53.75,8.812,0,55.027,35.225,24.612,0,55.027,20.548,25.679,NA,NA,NA,NA,40,55.027,49.315,6.331,34.849,43.399,39.033,3.941,19.093,36.87,27.478,8.959,NA,NA,NA,NA,,109.093,126.87,117.478,,,117.478,2.050377899,
Wooster,OBS2,40.775295,-81.920004,6,28,2018,14,13,,,C4_062818_14.13_for_60sec,yes,14:13,,yes,4,4,3,6,460,528,501.556,25.318,661.333,716,690.444,20.8,1.335,1.702,1.502,0.186,24,42,35,7.874,39.643,67.105,52.242,13.87,0,67.105,26.121,29.929,NA,NA,NA,NA,39.643,67.105,52.242,13.87,27.002,50.279,35.55,12.81,40.972,43.919,42.388,1.477,NA,NA,NA,NA,,130.972,133.919,132.388,,,132.388,2.31060649,
