"easting","northing"
290223.191189282,4426411.27758471
289999.757442831,4426187.12939834
290102.171518351,4426984.74735112
290082.097630746,4426044.95232507
290095.36393491,4426903.41390685
290452.728268206,4427076.88279264
290117.73850206,4425954.51243387
290269.698916542,4426511.79655785
290188.12963519,4425805.89757609
290159.313933447,4427002.50512759
290020.951450112,4426435.88604741
290328.344822963,4426176.08624161
290511.785212887,4425463.64690598
290258.359567327,4426874.1967737
290188.002989587,4426973.03674269
290079.162262918,4426536.48205393
290532.325728768,4427042.91262115
290376.478020464,4426805.09145625
290194.980377602,4426319.14510677
290084.853207885,4427149.94148973
290140.5656833,4426814.06513139
290264.907303815,4427314.36986555
290404.811703163,4425644.84738457
290224.608658347,4426915.48059856
289996.815305263,4425638.73475661
290018.714738706,4426069.05154562
290251.386262878,4426562.7082009
290361.558436649,4426359.22673337
290232.217162413,4426354.20303805
290405.167577782,4426457.97987584
289992.383495444,4426290.96772441
290273.308946596,4425952.50746404
290122.053719549,4426332.16157846
290124.543165192,4426691.85286094
290096.666890175,4426153.90834094
289962.250792464,4426725.65827132
290085.176556182,4426117.84998406
290168.693701886,4426406.04717667
290078.414816802,4426275.38593606
289979.926103557,4426575.77420281
290191.624514363,4426330.22761846
290205.531560141,4427400.59303517
289890.170567599,4426091.02353058
289879.017489483,4426637.25550316
290251.703399979,4427075.42740717
290040.680874721,4426257.74341935
290145.460975435,4426163.75327618
289984.371860678,4425782.7459355
290386.394024143,4426624.41456376
290096.699386557,4426370.79046619
290227.839947199,4426562.00041031
290035.192914363,4426613.52587392
290221.764893458,4426962.17739711
290151.963854467,4426277.19909627
290322.164936289,4426726.05478975
289893.157176195,4426501.56811982
290371.447356953,4426364.35027178
290292.464068267,4426025.47076226
290325.591721081,4426647.16451013
290094.030115265,4426788.64583503
290418.643912083,4427408.41255852
290247.69698057,4427227.95267205
290007.891297857,4426200.16653684
290270.396534539,4426921.56129983
289833.227260957,4426766.90174887
290088.738251066,4426192.65657254
290018.134223394,4426610.56285997
290174.575448904,4426401.10354417
290094.616939996,4427344.64094993
290373.360120532,4426209.05463953
289996.45653388,4426356.04449778
290212.718712441,4427016.11491745
289964.258946146,4426929.34784516
290485.026971862,4426539.76379548
290063.448728084,4426114.58306593
289833.07843833,4426210.82413994
290257.090429748,4426204.65577529
289927.977449094,4427071.67989103
290155.569979071,4426886.55641666
290035.248819006,4426780.30392007
290551.583410524,4427129.43600014
290460.695749762,4426138.63880735
290686.064114178,4427751.02862423
289929.343083651,4426265.17419291
290418.733878433,4427171.18595785
290372.985949211,4427051.20422275
290230.351069585,4426731.9545503
290483.477892571,4427163.83788637
290022.669229776,4426434.68774039
289988.804885071,4426374.87606604
290235.2077914,4425950.52595775
290252.86294637,4426222.64468722
290152.197605072,4426017.05731813
290380.867404675,4426414.16716952
290398.800682706,4426997.90623892
290377.641344013,4426944.62982041
290147.431383027,4425522.71857723
290401.653661919,4426902.78447478
290268.74661158,4426832.50119995
290387.058030064,4426480.58332531
290358.214841199,4426347.15004197
290210.97298955,4426557.21642796
290107.616913854,4426903.86705243
290173.679316158,4426605.91660307
290048.250256057,4426239.16035395
290355.889680751,4426923.97906494
290220.335876271,4426638.05347919
290076.620336231,4426771.98247449
290267.889181833,4426842.68889887
290090.510890924,4427022.92098083
290216.095942024,4426782.68964501
290200.879640806,4426422.09515593
290139.075215699,4426366.3848502
290049.206894618,4427173.29958175
290159.20238893,4426373.77051157
290181.577011338,4426000.60079119
290095.125283671,4426153.61061726
290099.620092922,4426521.48795899
290507.050498086,4426857.73661138
289975.184246671,4426696.52930193
290063.424104171,4425874.72519734
290399.432739912,4426190.60421588
290277.399902884,4426525.26849377
290276.964850655,4426636.01806593
290030.607499624,4426417.23035286
290339.592659045,4426121.20245922
290042.744098531,4427175.39863398
290175.575448783,4426798.44525295
289991.39437325,4426523.12765295
290325.424119818,4426922.19628551
290017.712293603,4425783.63415444
290391.490880152,4426379.86142644
290135.20521858,4427212.60349361
290536.391211116,4427470.27952757
289917.894163164,4426568.23193153
289914.811026214,4426044.16961089
290774.480174554,4427135.71076299
290101.841718127,4426040.37141194
290035.271894688,4426448.6008123
290029.094400426,4425973.10506419
289961.505870658,4426641.88006032
290161.422982099,4426035.72779005
289956.930167761,4426660.14590068
289933.205862464,4425632.83381084
290165.066489908,4427075.5893784
289912.948896193,4426128.33471129
290181.281345233,4426394.98788765
290127.838838466,4426873.07294514
290032.900679694,4426445.13939929
290114.484052842,4426440.85005593
290051.848118621,4426829.25970534
289774.093609809,4426112.0498196
290067.053990398,4426914.52496549
290269.84106936,4426680.98252871
290095.157316041,4425942.47618879
290368.307721102,4427343.42494866
290286.532659726,4426219.71496543
290331.026034476,4426948.28871314
290182.432911518,4426903.0273269
289932.854551331,4425485.43611079
290030.133253064,4426715.40586023
289994.641023337,4426878.54598232
290191.430466492,4426853.06731784
290261.108296241,4427009.64237325
290107.51482827,4426614.5473897
290206.039226039,4426804.06140957
290396.15684026,4426340.76690311
290112.845458965,4425953.11363832
290085.318798272,4426818.35826148
290345.985799892,4425931.66858184
290075.538741548,4426356.02138257
290199.996811577,4426910.33283532
290241.681046729,4426513.06160222
290174.911088504,4426330.38969481
290418.504040865,4425929.13014413
289955.069058279,4426422.24462163
290283.497612464,4426309.87919866
290243.879157658,4426033.9694098
289843.116249469,4426729.32567628
290087.635697286,4426819.77991885
290404.924844686,4426244.14961298
290291.647894944,4426795.72342846
289878.570772541,4426027.48747942
290144.606754568,4426744.73119326
289982.050194686,4425888.44560308
290274.234790445,4427410.30449997
290275.57770321,4426820.49834095
290119.337050395,4425278.94867351
289890.250996888,4426193.88087382
290481.069370909,4426958.4380336
290426.61838254,4425707.8832031
290351.871511966,4426926.22055849
290199.9397136,4426417.86693966
290045.234033354,4426166.71913888
289834.634547006,4426200.37256402
290159.839652194,4426676.02537191
289815.021599001,4426535.15009081
290217.260188428,4426411.89541961
290235.876022666,4427000.91986097
290446.19484478,4426769.95102172
290115.054629777,4426856.94613733
290079.362177926,4426273.19352576
290217.85089092,4426747.77840404
290325.071945763,4427192.23213764
290025.501235157,4426189.35977997
290129.84881867,4426153.73479747
290351.081346674,4427102.4912943
290083.24426053,4426957.90623595
290097.132216695,4426332.28001912
290431.494176349,4427227.49958273
290022.092002279,4426289.49501466
290190.153159017,4425820.96633311
290020.744988323,4426485.0492348
290344.889640469,4427260.28788165
290213.884101485,4426182.43416791
289942.542391867,4426212.96976237
290195.170497418,4426460.17765947
290369.912248975,4427455.43728365
289929.894383769,4426364.2749652
290020.821410938,4426805.31366628
290059.365847313,4426554.86170869
290360.491527939,4426456.19819037
290319.097746824,4426548.65018044
290174.57738484,4426174.5290788
290082.760544452,4426702.55540095
289862.306514719,4426941.69528731
290130.243542486,4426808.23121432
290207.345702916,4426349.49976552
290153.674563425,4425969.85214493
290291.649727396,4426749.18851735
290244.692637632,4426326.83646326
290529.669352495,4426469.72451214
290220.981108298,4426029.45831223
290000.623393809,4427169.33667835
290105.29616301,4426123.96042786
290040.451525526,4426786.80207053
290114.088301945,4426284.79425523
290232.62373683,4425344.10117626
290095.925230319,4427155.73684216
290278.10460423,4426841.38935993
290109.9184528,4426183.1970445
290136.339553927,4426451.44309451
289942.068421778,4426557.9289078
289951.249575178,4426764.60428002
290130.220357185,4426889.57068186
290186.073201321,4426538.95064021
290257.78110626,4426932.9192712
289966.099580604,4426195.32410754
290232.79662864,4426384.93083652
289947.535113235,4426297.67564041
290375.020421372,4426286.83786651
290248.481423519,4426093.05375356
290260.991352189,4425665.1182063
290109.50750131,4426148.62590073
290326.117565053,4426773.44486188
290055.061094915,4426517.54974383
290057.000065341,4426216.23090567
290545.488371044,4426451.3894812
290378.903934274,4425800.77869671
290207.263135084,4425675.5170266
290228.485260978,4426570.53889141
289988.516792799,4426691.57369141
290505.748012797,4427283.98689527
290029.834084104,4426473.68695044
290229.691136841,4426194.8490905
290353.239547505,4426474.60976383
290220.463959577,4426489.49060725
290208.622672607,4426367.5892825
290041.681720299,4426116.69921996
290392.98726466,4426994.40068216
290259.748689535,4426489.41762877
290046.477407539,4426265.91570976
289900.791472665,4426230.47174242
290040.619086997,4426913.65042695
290320.319327687,4427052.21032605
290239.308728774,4426815.38295742
290371.880951922,4427030.0352415
290048.959260256,4427010.21123762
289959.124289629,4426798.25956882
290282.887611445,4426519.32103683
290289.898424529,4426520.91560273
290005.770442329,4425906.60009693
290341.834585978,4426941.83125645
290373.51705708,4426930.82389101
289982.54664383,4427173.120102
290305.887421682,4427096.37873026
289869.20893952,4426467.58730926
289975.308243713,4426562.24860798
289965.83285767,4425922.3391453
289802.586509754,4426370.64759162
290041.747745959,4426467.55732384
290232.601638752,4426811.20306564
290329.535639293,4425681.70187137
290296.620420109,4425961.33309711
290284.849170872,4427264.76954457
290225.948069971,4426828.51994122
290099.445628734,4426195.55974569
290005.887676448,4426116.20319282
290098.934565341,4426204.10499721
289744.586838827,4426156.87121153
289941.414144803,4426462.42926442
289780.66921254,4426716.55520724
290252.199617695,4426502.6661379
290220.628246619,4426626.76398489
290012.957437008,4426215.52400998
290226.695236683,4426640.47230255
290131.212857299,4426734.25291943
289996.200566348,4426868.5165442
289904.242875261,4426149.31165678
290014.95104788,4425941.8741489
290465.837400456,4427537.09160948
290133.022980482,4426695.52213029
290352.052046938,4427177.76586367
290053.228421632,4425739.79676147
289938.217291152,4426731.5267603
290241.665591312,4425566.80602693
289720.305735781,4426486.34436934
290163.825574659,4426492.37267298
